年,世紀,時代,出来事・用語,別解,詳細
9,世紀,平安時代,摂関政治,,藤原道長の頃に最も栄えた、娘を天皇のきさきにして自分はその補佐になることで実権を握る政治体制。
9,世紀,平安時代,国風文化,,唐風の文化を基礎にしながら日本の貴族によって工夫がなされた、日本独自の文化。
11,世紀,平安時代,奥州藤原氏,,岩手県を中心に勢力をふるった、東北地方を統一した武士。
11,世紀,平安時代,院政,,関白や摂政といった力を抑えて政治を行った上皇による政治。
11,世紀,平安時代,十字軍,,ローマ教皇がイスラム勢力の中にあったエルサレムを奪い返すようにと、ヨーロッパ各国の王が遠征を行った軍。
14,世紀,室町時代,倭寇,蒙古襲来,東シナ海で活動が盛んになり、朝鮮や中国を苦しめていた日本の海賊。
14,世紀,室町時代,ルネサンス,文芸復興,人間の個性や自由を表現しようというギリシャやローマの文化を理想とする文化運動。
14,世紀,室町時代,北山文化,,農村や都市で発達した「能」・「狂言」や、公家と武家の文化の融合が特色である文化。
14,世紀,室町時代,下剋上,下克上,この時代に盛んに行われた、下位の者が上位の者を政治・軍事的に打倒し権力を奪取する行為。
15,世紀,室町時代,琉球王国,,尚氏によって統一された、首里を都とした王国。
15,世紀,室町時代,大航海時代,,ヨーロッパ人によってアフリカやアジアなどへの大規模な航海、新航路の開拓が行われた時代。
17,世紀,江戸時代,文治政治,,幕藩体制が確立し外国との関係も安定してきた頃に徳川綱吉によって行われた、武力ではなく学問や礼節を重んじる政治。
17,世紀,江戸時代,朱子学,,文治政治で特に重視された、上下関係を大切にするという儒学の1つ。
17,世紀,江戸時代,元禄文化,,経済力や技術力を持つ上方の町人によって生み出された文化。
18,世紀,江戸時代,新田開発,,戦乱の無い時代になったことによる人口増加に対応するために行われた、米の生産量を増やす取り組み。
18,世紀,江戸時代,五街道,,交通の整備を固めるために定められた、日本橋を起点とする街道。
18,世紀,江戸時代,問屋制家内工業,,商品作物の生産者が行った、問屋から原料や道具などを借りて、手工業によって行われた商品作りの仕組み。
18,世紀,江戸時代,田沼意次,,年貢に頼る従来の政治を改め、商品の流通や生産から得る利益によって財政の立て直しを図った江戸時代の老中。
18,世紀,江戸時代,寺子屋,,町人や百姓の間で教育が盛んになり増えた、読み・書き・そろばんを学ぶ所。
18,世紀,江戸時代,産業革命,,重工業などの発展により、工業中心の社会へと大きく変化した革命。
18,世紀,江戸時代,南下政策,,黒海や地中海の出口を求めて進めた、ロシアによる政策。
19,世紀,江戸時代,化政文化,,文化・文政期を中心に花開いた、江戸の庶民による文化
19,世紀,江戸時代,工場制手工業,,働き手を工場へ集め、製品を分業で大量に仕上げる新しい生産の仕組み。
19,世紀,大正時代,三国協商,,第一次世界大戦の主要な交戦国となる、イギリス・フランス・ロシア間で締結した協調関係。
593,,飛鳥時代,聖徳太子,厩戸皇子、厩戸王,推古天皇の摂政として活躍し、十七条の憲法を制定した。
645,,飛鳥時代,大化の改新,,中大兄皇子と中臣鎌足が蘇我氏を倒したりした、中央集権国家を目指す国政改革。
663,,飛鳥時代,白村江の戦い,,百済復興を目指す日本・百済と唐・新羅との間の戦争。
701,,飛鳥時代,大宝律令,,律令国家の仕組みを定めた。
710,,奈良時代,平城京,,奈良時代の始まり。奈良に都が置かれる。
710,,奈良時代,天平文化,,聖武天皇の時代に最も栄えた、遣唐使によって中国からもたらされた文化。
743,,奈良時代,墾田永年私財法,墾田永年私財の法,自分で開拓した田地(墾田)をずっと自分のものと出来る法令。
794,,平安時代,平安京,,平安時代の始まり。京都に都が置かれる。
801,,平安時代,坂上田村麻呂,,一番最初に征夷大将軍に任命され、蝦夷を討伐した人。
905,,平安時代,古今和歌集,,紀貫之らによって編集され、後に日本文学に影響を残した和歌集。
1052,,平安時代,浄土信仰,,阿弥陀仏にすがって死後に極楽浄土に生まれ変わることを願った信仰。
1185,,鎌倉時代,壇ノ浦の戦い,,源平合戦の最終戦で、平氏が滅びる。
1185,,鎌倉時代,守護・地頭,守護地頭、守護と地頭,源頼朝が諸国を支配するために設置した2つの役職。
1192,,鎌倉時代,源頼朝,,征夷大将軍に任命され、鎌倉幕府を開いた人。
1221,,鎌倉時代,承久の乱,,北条政子の演説が有名な、後鳥羽上皇が鎌倉幕府に対して起こした乱。
1221,,鎌倉時代,六波羅探題,,承久の乱の後に幕府によって設置された、主に朝廷の監視が目的の機関。
1232,,鎌倉時代,御成敗式目,,北条泰時が武士の法典として制定したもの。
1274,,鎌倉時代,文永の役,,元軍が日本に侵攻（元寇の第一回）。
1281,,鎌倉時代,弘安の役,,元軍が再び侵攻（元寇の第二回）。
1297,,鎌倉時代,永仁の徳政令,徳政令,鎌倉幕府9代執権・北条貞時が発令した、主に借金を帳消しにするための令。
1336,,室町時代,建武の新政,,後醍醐天皇によって成立した新政権。
1338,,室町時代,室町幕府,,足利尊氏が征夷大将軍に任命され開いた幕府。
1392,,室町時代,足利義満,,南北朝を統一し内乱を終わらせ、京都の室町に御所を構えた室町幕府の三代将軍。
1397,,室町時代,金閣寺,鹿苑寺,室町幕府の3第将軍・足利義満が建てた、金装飾で有名な寺。
1404,,室町時代,日明貿易,勘合貿易,正式な貿易船かどうか見分けるために「勘合」が使われたことで有名な、室町時代に日本と明が行った貿易。
1428,,室町時代,正長の土一揆,,京都で起こった農民による最初の大規模な反乱。
1467,,室町時代,応仁の乱,,将軍の後継ぎなどをめぐって起こった全国的な戦乱。
1488,,室町時代,加賀一向一揆,,加賀の守護大名が浄土真宗を弾圧したことで起こった、その信徒たちによる一揆。
1517,,室町時代,宗教改革,,マルティン・ルターが「95か条の論題」を発表し、開始した改革。
1543,,室町時代,南蛮貿易,,日本がポルトガル人やスペイン人南蛮人と呼んだことから名付けられた、日本と彼らとの貿易。
1549,,室町時代,フランシスコ=ザビエル,フランシスコザビエル、フランシスコ＝ザビエル、フランシスコ・ザビエル,キリスト教を布教しに来た宣教師。
1560,,室町時代,桶狭間の戦い,,尾張桶狭間で、織田信長が今川義元を奇襲して敗死させた合戦。
1575,,安土桃山時代,長篠の戦い,,織田信長が鉄砲を用いて武田軍を破った合戦。
1582,,安土桃山時代,本能寺の変,,明智光秀が京都の本能寺にいた織田信長を襲撃した事件。
1582,,安土桃山時代,太閤検地,,年貢を確実に取り立てるために豊臣秀吉が行った、日本全国での田畑の測量。
1588,,安土桃山時代,刀狩令,,武士以外の刀など武器の所有を禁じた政策。
1600,,安土桃山時代,京都所司代,,徳川家康が、朝廷の統制や西国大名の監視を行うために京都に設置した機関。
1600,,安土桃山時代,関ヶ原の戦い,,徳川家康が石田三成を破り、天下を掌握した戦い。
1603,,江戸時代,江戸幕府,,徳川家康が征夷大将軍に任命され、成立した幕府。
1604,,江戸時代,朱印船貿易,朱印船,徳川将軍が渡航を許可した船によって行われた海外との貿易。
1607,,江戸時代,朝鮮通信使,朝鮮使節,後に将軍の代替わりなどの際に来るようになる、朝鮮から日本へ派遣される使節団。
1615,,江戸時代,大坂の陣,大阪の陣、大坂の役,江戸幕府と豊臣家との間で行われた、冬の陣と夏の陣がある合戦。
1615,,江戸時代,武家諸法度,,江戸時代に幕府が大名の統制のために制定した基本法。
1615,,江戸時代,禁中並公家諸法度,公家諸法度,江戸幕府が、朝廷や公家に対して干渉できるようにした法律。
1635,,江戸時代,参勤交代,,全国の大名に、一年おきに江戸と自分の領地を行き来しなければいけないと定めた制度。
1637,,江戸時代,島原・天草一揆,島原の乱,島原・天草地域で引き起こされた、百姓を主体とする大規模な武力闘争事件である。
1639,,江戸時代,鎖国,鎖国政策,日本が外国との交流を制限した政策。
1639,,江戸時代,ピューリタン革命,清教徒革命,クロムウェルの指導により国王の軍を破り国王を処刑し、共和制を実現させた革命。
1651,,江戸時代,由井正雪の乱,,幕府転覆を企てた由井正雪の反乱。
1669,,江戸時代,シャクシャインの戦い,,松前藩がアイヌの人々にとって不利な取引を持ちかけたことで起こった、大規模な蜂起。
1687,,江戸時代,生類憐れみの令,,徳川幕府の5代将軍・徳川綱吉によって制定された、動物愛護に関する法令。
1688,,江戸時代,名誉革命,,前の国王を追放し、議会を尊重する新しい国王を迎え入れ、後に権利の章典を制定した革命。
1716,,江戸時代,享保の改革,,徳川吉宗による政治改革。
1721,,江戸時代,目安箱,,民衆の声を聞くために、8代将軍徳川吉宗が設置した箱。
1722,,江戸時代,上米の制,上げ米の制,米を多く納めれば参勤交代を軽減するという制度。
1742,,江戸時代,公事方御定書,,罪に対する罰の程度の標準を江戸時代で初めて定めた法典。
1774,,江戸時代,解体新書,,杉田玄白らが翻訳した、解剖に関するオランダの書物。
1776,,江戸時代,アメリカ独立宣言,独立宣言,アメリカ合衆国がイギリスからの独立を宣言。
1787,,江戸時代,松平定信,,寛政の改革を主導した江戸時代中期の老中。
1789,,江戸時代,フランス革命,,後に人権宣言を発表する、国王や貴族中心の政治に対する不満が爆発したことで起こった革命。
1802,,江戸時代,東海道中膝栗毛,,十返舎一九作の、各地の名所などを紹介した滑稽本。
1825,,江戸時代,異国船打払令,,外国船を追い払う方針を示したもの。
1837,,江戸時代,大塩平八郎の乱,,元役人の大塩平八郎が起こした乱。
1839,,江戸時代,蛮社の獄,,異国船打払令に反対した蘭学者を処罰した。
1840,,江戸時代,アヘン戦争,,アヘンの売買を禁止した清に対してイギリスが起こした戦争。
