word,meaning
tell,（動）分かる
own,（動）所有している
last,（動）続く
point,（動）指す
long,（動）熱望する
hand,（動）手渡す
include,（動）含む
meet,（動）会う
form,（動）組織する
provide,（動）提供する
run,（動）経営する
face,（動）直面する
lead,（動）導く
pay,（動）支払う
increase,（動）増加する
book,（動）予約する
support,（動）支持する
control,（動）抑制する
offer,（動）申し出る
cost,（動）費用がかかる
force,（動）強いる
leave,（動）出発する
train,（動）訓練する
allow,（動）許す
continue,（動）続ける
involve,（動）巻き込む
produce,（動）作る
appear,（動）現れる
consider,（動）よく考える
cause,（動）引き起こす
require,（動）必要とする
share,（動）共有する
let,（動）させる
suggest,（動）提案する
add,（動）加える
care,（動）気にかける
land,（動）着陸する
develop,（動）発達させる
bear,（動）耐える
agree,（動）同意する
approach,（動）近づく
drive,（動）ある状態にする
describe,（動）描写する
remain,（動）～のままである
demand,（動）強く要求する
charge,（動）請求する
cover,（動）覆う
create,（動）創造する
accept,（動）受け入れる
raise,（動）育てる
exist,（動）存在する
apply,（動）申し込む
complete,（動）完成する
reduce,（動）減らす
contain,（動）含む
kill,（動）殺す
suppose,（動）〜することになっている
supply,（動）供給する
recognize,（動）見分ける
prepare,（動）準備する
serve,（動）食事を出す
lie,（動）横になる
park,（動）駐車する
manage,（動）管理する
realize,（動）気が付く
match,（動）調和する
prove,（動）証明する
publish,（動）出版する
aim,（動）狙いを定める
discuss,（動）議論する
argue,（動）主張する
damage,（動）損害を与える
regard,（動）みなす
affect,（動）影響を与える
improve,（動）改良する
suffer,（動）苦しむ
contact,（動）連絡を取る
identify,（動）特定する
encourage,（動）励ます
trust,（動）信頼する
compare,（動）比較する
announce,（動）発表する
treat,（動）扱う
mention,（動）言及する
gain,（動）得る
separate,（動）離す
judge,（動）判断する
avoid,（動）避ける
object,（動）反対する
transfer,（動）移す
remove,（動）取り除く
promise,（動）約束する
exchange,（動）交換する
extend,（動）延長する
replace,（動）取りかえる
warn,（動）警告する
refuse,（動）拒否する
prevent,（動）妨げる
beat,（動）続けざまに打つ
organize,（動）組織する
doubt,（動）疑う
transport,（動）輸送する
examine,（動）検査する
waste,（動）浪費する
ship,（動）送る
protect,（動）保護する
attend,（動）出席する
perform,（動）演じる
store,（動）蓄える
roll,（動）転がす
warm,（動）警告する
respect,（動）尊敬する
count,（動）数える
select,（動）選ぶ
employ,（動）雇う
survive,（動）生き残る
spread,（動）広がる
feed,（動）食べ物を与える
conduct,（動）実施する
fix,（動）修理する
request,（動）頼む
prefer,（動）～のほうを好む
escape,（動）逃げる
concentrate,（動）集中する
manufacture,（動）製造する
ignore,（動）無視する
divide,（動）分割する
arrange,（動）取り決める
switch,（動）スイッチで切り替える
lock,（動）鍵をかける
remind,（動）思い出させる
emphasize,（動）強調する
bend,（動）曲げる
locate,（動）位置する
spin,（動）回る
scare,（動）怯えさせる
upgrade,（動）質を高める
click,（動）クリックする
other,（形）他の
social,（形）社会の
public,（形）公の
general,（形）一般的な
present,（形）現在の
major,（形）主要な
either,（形）どちらか
available,（形）利用可能な
individual,（形）個人的な
past,（形）過去の
patient,（形）忍耐強い
sound,（形）健全な
economic,（形）経済の
likely,（形）ありそうな
particular,（形）特定の
certain,（形）確信して
common,（形）共通の
similar,（形）類似した
personal,（形）個人の
private,（形）個人の
financial,（形）財政の
official,（形）公式の
recent,（形）最近の
various,（形）様々な
current,（形）現在の
chief,（形）第一の
previous,（形）以前の
original,（形）最初の
specific,（形）特定の
successful,（形）成功した
aware,（形）気づいて
alternative,（形）二者択一の
effective,（形）効果的な
extra,（形）余分の
physical,（形）身体の
medical,（形）医学の
civil,（形）市民の
obvious,（形）明らかな
positive,（形）肯定の
environmental,（形）環境の
huge,（形）巨大な
practical,（形）実用的な
active,（形）活動的な
due,（形）予定された
ordinary,（形）普通の
empty,（形）空の
educational,（形）教育の
mental,（形）精神の
unlikely,（形）ありそうにもない
attractive,（形）魅力的な
rare,（形）まれな
terrible,（形）ひどい
classic,（形）最高水準の
